127.0.0.1 - - [01/Dec/2017:13:38:00 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:01 +0900] "GET /jspweb/ HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:01 +0900] "GET /jspweb/images/main_banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:01 +0900] "GET /jspweb/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:01 +0900] "GET /jspweb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:01 +0900] "GET /jspweb/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:01 +0900] "GET /jspweb/fonts/ya-regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "POST /jspweb/managerLogin HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "GET /jspweb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "GET /jspweb/images/main_banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "GET /jspweb/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "GET /jspweb/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "GET /jspweb/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "GET /jspweb/fonts/ya-regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:08 +0900] "GET /jspweb/fonts/ya-bold.ttf HTTP/1.1" 200 999952
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:11 +0900] "GET /jspweb/manSeat HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:11 +0900] "GET /jspweb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2017:13:38:11 +0900] "GET /jspweb/images/main_banner.jpg HTTP/1.1" 304 -
